Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		1,352 K	12,152 K	5252	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,708 K	35,996 K	5292	Host Process for Windows Services	Microsoft Corporation
  XtuService.exe		92,148 K	20,636 K	5324	XtuService	Intel(R) Corporation
  MsMpEng.exe	2.07	381,148 K	253,344 K	5348	Antimalware Service Executable	Microsoft Corporation
   MpCopyAccelerator.exe		2,312 K	4,804 K	8748		
  svchost.exe		1,548 K	12,960 K	5472	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,756 K	17,000 K	5548	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,440 K	25,100 K	5556	Host Process for Windows Services	Microsoft Corporation
  hpqwmiex.exe		2,104 K	5,992 K	5600	HP CASL Framework Service	HP
  LanWlanWwanSwitchingServiceUWP.exe		3,116 K	8,812 K	5828	HP LAN/WLAN/WWAN Switching UWP Service	HP Inc.
  svchost.exe	< 0.01	4,040 K	35,952 K	5964	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,064 K	20,160 K	5748	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,540 K	40,772 K	5232	Host Process for Windows Services	Microsoft Corporation
  NisSrv.exe		8,520 K	10,652 K	7264	Microsoft Network Realtime Inspection Service	Microsoft Corporation
  svchost.exe		7,324 K	41,556 K	7464	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	12,636 K	46,500 K	7584	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		18,948 K	95,160 K	7620	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,496 K	42,288 K	7992	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,292 K	25,808 K	8148	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,796 K	14,880 K	4120	Host Process for Windows Services	Microsoft Corporation
   ctfmon.exe	< 0.01	7,944 K	14,176 K	7496		
  SearchIndexer.exe	< 0.01	182,040 K	52,176 K	7812	Microsoft Windows Search Indexer	Microsoft Corporation
  svchost.exe	< 0.01	4,172 K	52,936 K	8724	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		8,148 K	46,676 K	8956	Host Process for Windows Services	Microsoft Corporation
  SecurityHealthService.exe		4,232 K	11,440 K	10820	Windows Security Health Service	Microsoft Corporation
  svchost.exe		7,332 K	24,748 K	11064	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,152 K	24,628 K	9144	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,136 K	25,244 K	12096	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		7,016 K	40,424 K	2568	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,828 K	15,152 K	2764	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,196 K	12,168 K	3620	Host Process for Windows Services	Microsoft Corporation
  vmcompute.exe	< 0.01	2,800 K	10,048 K	13260	Hyper-V Host Compute Service	Microsoft Corporation
  svchost.exe		1,932 K	27,056 K	11500	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,684 K	21,028 K	13596	Host Process for Windows Services	Microsoft Corporation
